District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,State,District,Latitude,Longitude,sex_ratio,literacy_rate
4,140802,235,15824,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,123.0,61.0
5,476835,346,62900,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,112.0,55.0
7,616435,1443,109422,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,112.0,63.0
10,1236829,16413,165403,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,111.0,61.0
12,560440,1537,73629,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,110.0,52.0
16,409936,596,61831,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,109.0,53.0
19,554985,1214,73999,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,115.0,58.0
21,1529958,19905,294739,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,114.0,74.0
23,519080,1615,96082,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,101.0,62.0
24,1510075,8053,330081,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,99.0,76.0
26,437903,2623,91322,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,106.0,70.0
27,999777,5333,214491,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,99.0,72.0
28,454768,2521,104120,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,91.0,79.0
28,454768,2521,104120,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,91.0,79.0
168,1104285,1196,55929,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,116.0,59.0
168,1104285,1196,55929,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,116.0,59.0
29,521173,2412,105929,Himachal Pradesh,Una,31.58330388349513,76.18353932038836,102.0,77.0
30,381956,1574,79146,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,102.0,75.0
30,381956,1574,79146,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,102.0,75.0
406,2663629,8566,519704,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,103.0,60.0
